iter	RMSE
0	0.6371167635
1	0.6258203545
2	0.6124332692
3	0.6019515495
4	0.5923273976
5	0.5828638047
6	0.5728656864
7	0.5647324963
8	0.5564271401
9	0.5481926027
10	0.5388028062
11	0.5321974392
12	0.5247430494
13	0.5184623475
14	0.5117945162
15	0.5053245539
16	0.4997135062
17	0.4931448039
18	0.4875388386
19	0.4810184783
20	0.4757648492
21	0.4701082087
22	0.464215936
23	0.4602888425
24	0.4554281499
25	0.4488644326
26	0.4452747705
27	0.4413888009
28	0.4379375331
29	0.4346313601
30	0.4321819567
31	0.4288010398
32	0.4249037695
33	0.4219336302
34	0.4183684714
35	0.4132787579
36	0.4105961699
37	0.4080585591
38	0.4050633354
39	0.4021042889
40	0.39879979
41	0.3957998587
42	0.3931212873
43	0.3912545596
44	0.3888439825
45	0.3874740359
46	0.384662055
47	0.3822966744
48	0.3797968975
49	0.3779082843
50	0.3751245012
51	0.3725729667
52	0.3714158601
53	0.3698533077
54	0.3684117861
55	0.3667992646
56	0.3651840524
57	0.3632330552
58	0.3606562937
59	0.3594533916
60	0.357427572
61	0.3553219905
62	0.3526475297
63	0.3501643358
64	0.3482812317
65	0.3459409814
66	0.3443351102
67	0.3429252423
68	0.3414371619
69	0.3407575415
70	0.3398738989
71	0.3386375546
72	0.3373282029
73	0.3360460592
74	0.3353969927
75	0.333833426
76	0.3322583337
77	0.3303638445
78	0.329019061
79	0.3273354198
80	0.3269471051
81	0.3254982266
82	0.3247957438
83	0.3243632478
84	0.3218108662
85	0.3203282145
86	0.319696941
87	0.3181814193
88	0.316958537
89	0.3156835928
90	0.3143867403
91	0.3135714505
92	0.3127458603
93	0.3115808752
94	0.3099792677
95	0.3093270113
96	0.3082193584
97	0.3067069233
98	0.3055548651
99	0.3048659347
100	0.3038507612
101	0.3028536297
102	0.3017850504
103	0.3013380174
104	0.3004865383
105	0.2994962646
106	0.29888349
107	0.2980139639
108	0.2971900626
109	0.2961557968
110	0.2949984993
111	0.2937543211
112	0.2932032974
113	0.2927994574
114	0.292170955
115	0.2916907122
116	0.290778667
117	0.2900521295
118	0.2894725386
119	0.2881633747
120	0.2872143593
121	0.2862690494
122	0.2852390078
123	0.2846040587
124	0.2840670618
125	0.2833414991
126	0.2827218039
127	0.2823369963
128	0.2817955835
129	0.2808334768
130	0.2796770992
131	0.2794773763
132	0.2778803075
133	0.277546502
134	0.2766331453
135	0.275562536
136	0.2747329243
137	0.273663608
138	0.2729053301
139	0.271996152
140	0.271102676
141	0.2702765793
142	0.2696109947
143	0.2693006331
144	0.268465518
145	0.2673641862
146	0.2667966227
147	0.2659515957
148	0.2650546445
149	0.2642309705
150	0.2635611338
151	0.2630713323
152	0.2622561962
153	0.2614873756
154	0.2609543311
155	0.2602971692
156	0.2595616244
157	0.2590039193
158	0.2583146336
159	0.2575759665
160	0.2571873591
161	0.2567159923
162	0.2557200535
163	0.2547137613
164	0.2538468709
165	0.2529937511
166	0.2527095674
167	0.2521635916
168	0.2514263127
169	0.2506179496
170	0.2501179002
171	0.2496711578
172	0.2492340704
173	0.2489799655
174	0.2486090701
175	0.2481894087
176	0.2478059896
177	0.2471701955
178	0.2454787461
179	0.2438179263
180	0.2431522256
181	0.2422889461
182	0.2418541507
183	0.2415181426
184	0.2410997101
185	0.239336046
186	0.2382663537
187	0.237651846
188	0.2372040766
189	0.2362040214
190	0.2350094319
191	0.2336815875
192	0.233491176
193	0.2329553382
194	0.2323940332
195	0.2317461827
196	0.231542587
197	0.2306393923
198	0.2303411281
199	0.2294585673
200	0.2289411387
201	0.2275131246
202	0.2266894699
203	0.2260007971
204	0.2255063898
205	0.2250366592
206	0.2248304386
207	0.2243051194
208	0.2238338475
209	0.2232814079
210	0.2226630697
211	0.2223753647
212	0.2221049406
213	0.2215532653
214	0.2202231113
215	0.2198379358
216	0.2186654114
217	0.2181428728
218	0.2176393336
219	0.2169071063
220	0.2162629135
221	0.2148100936
222	0.2142109834
223	0.2139104697
224	0.2132881053
225	0.2118793245
226	0.2113972681
227	0.2109843276
228	0.2104140019
229	0.2092871158
230	0.2079396482
231	0.2068950658
232	0.2065691843
233	0.2062338384
234	0.2049514081
235	0.2037336465
236	0.2032974004
237	0.2028161792
238	0.2018828935
239	0.2010045702
240	0.2006808688
241	0.1995421282
242	0.1989299234
243	0.1987486621
244	0.1977287993
245	0.1975671524
246	0.1971100542
247	0.1966078269
248	0.1957294276
249	0.1952617877
250	0.1947908744
251	0.1943870172
252	0.194194726
253	0.194111511
254	0.1936293714
255	0.1930542389
256	0.1926836472
257	0.1920352522
258	0.1914675021
259	0.1910451288
260	0.1900121102
261	0.189356207
262	0.1890389397
263	0.1887057172
264	0.1882108362
265	0.1877535852
266	0.1869883354
267	0.1868888373
268	0.186300223
269	0.1857404616
270	0.1847842207
271	0.1842839102
272	0.1840038904
273	0.1830868871
274	0.1827309731
275	0.1822980259
276	0.1820141818
277	0.1819254601
278	0.1815297064
279	0.1806090577
280	0.1800227935
281	0.1794443188
282	0.1790312122
283	0.1786531772
284	0.1784485938
285	0.1782022986
286	0.1779492457
287	0.177170392
288	0.1766728663
289	0.1763366247
290	0.1761036732
291	0.1753753075
292	0.1750827262
293	0.1741633286
294	0.1732256579
295	0.1728422509
296	0.1724597832
297	0.1717606446
298	0.1710199429
299	0.1707955157
300	0.1706779616
301	0.1703756102
302	0.1700224725
303	0.1697345795
304	0.168688937
305	0.1681457312
306	0.1678467707
307	0.1675780717
308	0.1667324846
309	0.1664430431
310	0.166029762
311	0.1659120895
312	0.1655837807
313	0.1648334838
314	0.1647394214
315	0.1642231133
316	0.1637454815
317	0.1635223242
318	0.163104126
319	0.1627479315
320	0.1623645934
321	0.1622063014
322	0.1618610895
323	0.160991662
324	0.1603746777
325	0.1600668063
326	0.1591618845
327	0.158916205
328	0.1588332097
329	0.1583997368
330	0.1582460748
331	0.1579890542
332	0.1578342792
333	0.1577391218
