iter	Passed	Remaining
0	7	3859
1	13	3313
2	19	3149
3	25	3148
4	31	3109
5	37	3086
6	43	3030
7	48	3002
8	54	2962
9	59	2927
10	65	2927
11	70	2873
12	75	2844
13	81	2846
14	86	2803
15	93	2841
16	100	2850
17	105	2831
18	110	2791
19	115	2763
20	121	2763
21	126	2738
22	131	2731
23	135	2697
24	140	2668
25	145	2650
26	150	2632
27	154	2603
28	158	2581
29	164	2573
30	167	2540
31	173	2543
32	178	2526
33	181	2493
34	186	2478
35	191	2469
36	196	2453
37	200	2436
38	207	2447
39	212	2448
40	218	2449
41	222	2430
42	227	2415
43	231	2402
44	237	2397
45	242	2391
46	247	2382
47	252	2381
48	259	2391
49	265	2390
50	272	2400
51	278	2398
52	283	2390
53	289	2392
54	294	2380
55	299	2370
56	303	2358
57	308	2354
58	314	2349
59	318	2335
60	323	2331
61	328	2322
62	334	2318
63	341	2326
64	347	2327
65	352	2319
66	357	2312
67	363	2307
68	367	2298
69	374	2300
70	380	2301
71	387	2302
72	391	2290
73	397	2287
74	404	2293
75	409	2286
76	414	2276
77	418	2265
78	423	2255
79	428	2247
80	431	2234
81	437	2229
82	442	2222
83	446	2212
84	452	2208
85	457	2204
86	462	2195
87	467	2189
88	472	2181
89	476	2171
90	481	2163
91	485	2154
92	490	2144
93	495	2139
94	500	2135
95	506	2130
96	510	2120
97	514	2110
98	521	2111
99	525	2101
100	530	2094
101	535	2087
102	539	2081
103	545	2077
104	550	2071
105	556	2069
106	563	2068
107	567	2059
108	572	2052
109	576	2045
110	582	2039
111	587	2036
112	591	2027
113	596	2018
114	600	2010
115	605	2003
116	611	2003
117	617	1998
118	621	1991
119	628	1990
120	633	1984
121	637	1976
122	642	1969
123	647	1963
124	652	1957
125	658	1954
126	666	1958
127	673	1956
128	677	1948
129	682	1942
130	689	1943
131	694	1936
132	699	1931
133	705	1926
134	710	1921
135	716	1916
136	721	1911
137	726	1904
138	730	1896
139	735	1891
140	741	1887
141	745	1879
142	750	1873
143	754	1866
144	761	1863
145	766	1858
146	772	1854
147	777	1848
148	782	1842
149	786	1835
150	791	1829
151	796	1823
152	800	1816
153	806	1811
154	810	1804
155	815	1798
156	820	1792
157	825	1787
158	831	1783
159	835	1776
160	840	1769
161	845	1763
162	851	1760
163	856	1753
164	861	1748
165	867	1744
166	871	1737
167	876	1731
168	880	1724
169	885	1718
170	889	1712
171	895	1707
172	899	1701
173	904	1693
174	908	1687
175	912	1680
176	917	1674
177	922	1669
178	927	1663
179	932	1657
180	937	1653
181	943	1648
182	948	1642
183	952	1636
184	957	1630
185	962	1624
186	967	1619
187	975	1619
188	981	1614
189	987	1610
190	992	1605
191	998	1601
192	1003	1595
193	1007	1589
194	1013	1585
195	1018	1579
196	1023	1574
197	1028	1568
198	1033	1563
199	1038	1557
200	1043	1551
201	1048	1546
202	1052	1540
203	1058	1535
204	1063	1529
205	1068	1524
206	1073	1519
207	1078	1513
208	1083	1508
209	1088	1503
210	1093	1498
211	1098	1492
212	1103	1487
213	1108	1482
214	1114	1477
215	1119	1472
216	1125	1467
217	1131	1464
218	1136	1458
219	1143	1455
220	1149	1450
221	1154	1445
222	1159	1440
223	1164	1434
224	1170	1430
225	1176	1426
226	1182	1421
227	1186	1416
228	1192	1410
229	1197	1405
230	1203	1401
231	1208	1396
232	1214	1391
233	1220	1387
234	1225	1382
235	1231	1378
236	1237	1372
237	1242	1368
238	1247	1362
239	1255	1359
240	1260	1355
241	1266	1350
242	1272	1345
243	1278	1340
244	1283	1335
245	1288	1330
246	1295	1326
247	1300	1321
248	1305	1315
249	1310	1310
250	1314	1304
251	1320	1299
252	1326	1295
253	1330	1288
254	1335	1282
255	1340	1278
256	1347	1273
257	1352	1268
258	1357	1262
259	1362	1257
260	1367	1252
261	1371	1246
262	1376	1240
263	1382	1236
264	1388	1230
265	1392	1225
266	1398	1220
267	1402	1214
268	1407	1208
269	1412	1203
270	1417	1198
271	1422	1192
272	1429	1188
273	1433	1182
274	1438	1176
275	1443	1171
276	1449	1166
277	1455	1162
278	1461	1157
279	1466	1151
280	1474	1149
281	1479	1143
282	1484	1138
283	1489	1132
284	1495	1128
285	1500	1122
286	1505	1117
287	1511	1112
288	1516	1107
289	1521	1101
290	1526	1096
291	1531	1091
292	1537	1086
293	1543	1081
294	1548	1076
295	1555	1072
296	1560	1066
297	1565	1061
298	1571	1056
299	1576	1051
300	1581	1045
301	1585	1039
302	1591	1034
303	1596	1029
304	1601	1023
305	1606	1018
306	1611	1013
307	1615	1007
308	1621	1002
309	1626	996
310	1632	992
311	1637	986
312	1643	981
313	1648	976
314	1652	970
315	1657	964
316	1664	960
317	1669	955
318	1675	950
319	1680	945
320	1685	939
321	1691	935
322	1696	929
323	1702	924
324	1707	919
325	1712	913
326	1718	909
327	1723	903
328	1728	898
329	1733	892
330	1737	887
331	1743	882
332	1750	877
333	1754	872
334	1759	866
335	1765	861
336	1770	856
337	1775	851
338	1780	845
339	1786	840
340	1792	836
341	1798	830
342	1802	825
343	1808	820
344	1813	814
345	1818	809
346	1823	803
347	1827	798
348	1833	793
349	1838	788
350	1844	783
351	1850	777
352	1856	772
353	1861	767
354	1867	762
355	1873	757
356	1878	752
357	1885	747
358	1892	743
359	1897	737
360	1903	732
361	1909	727
362	1913	722
363	1919	717
364	1924	711
365	1929	706
366	1934	700
367	1939	695
368	1945	690
369	1950	685
370	1955	680
371	1961	674
372	1966	669
373	1970	664
374	1976	658
375	1982	653
376	1987	648
377	1992	643
378	1998	638
379	2003	632
380	2008	627
381	2013	621
382	2018	616
383	2022	610
384	2027	605
385	2032	600
386	2039	595
387	2044	590
388	2049	584
389	2056	580
390	2061	574
391	2068	569
392	2073	564
393	2078	559
394	2082	553
395	2088	548
396	2093	543
397	2099	538
398	2104	532
399	2109	527
400	2113	521
401	2119	516
402	2124	511
403	2129	505
404	2134	500
405	2139	495
406	2144	490
407	2149	484
408	2155	479
409	2159	474
410	2164	468
411	2169	463
412	2175	458
413	2181	453
414	2186	447
415	2191	442
416	2197	437
417	2204	432
418	2210	427
419	2215	421
420	2220	416
421	2225	411
422	2231	406
423	2236	400
424	2241	395
425	2248	390
426	2253	385
427	2260	380
428	2265	374
429	2270	369
430	2275	364
431	2280	359
432	2286	353
433	2290	348
434	2295	343
435	2300	337
436	2306	332
437	2311	327
438	2316	321
439	2322	316
440	2328	311
441	2333	306
442	2338	300
443	2342	295
444	2348	290
445	2354	285
446	2359	279
447	2363	274
448	2368	269
449	2374	263
450	2379	258
451	2385	253
452	2389	247
453	2395	242
454	2400	237
455	2406	232
456	2412	227
457	2417	221
458	2422	216
459	2427	211
460	2432	205
461	2438	200
462	2443	195
463	2448	189
464	2453	184
465	2458	179
466	2463	174
467	2468	168
468	2473	163
469	2479	158
470	2485	153
471	2490	147
472	2496	142
473	2502	137
474	2507	131
475	2512	126
476	2518	121
477	2524	116
478	2530	110
479	2536	105
480	2541	100
481	2547	95
482	2553	89
483	2559	84
484	2563	79
485	2568	73
486	2573	68
487	2579	63
488	2584	58
489	2590	52
490	2596	47
491	2600	42
492	2606	37
493	2612	31
494	2617	26
495	2623	21
496	2630	15
497	2635	10
498	2641	5
499	2647	0
